platform,url,title,author,ts,text_len,sentiment,m_Atomberg,m_Havells,m_Crompton,m_Orient,m_Usha,m_Bajaj,metric_rank_weight,engagement
google,https://atomberg.com/landing/smartfans?srsltid=AfmBOortUqdVwYUjEBwhRle0dQAQcIcoBuToqEbHNiGT_1tunZIqmcOm,Why Not get a fan that listens to you?,,,8,0.0,1,0,0,0,0,0,0.3440101947801938,0.3440101947801938
google,https://www.youtube.com/watch?v=AU9q-7axwl4,Atomberg Renesa Smart+ 1200mm BLDC Motor 5 Star Rated ...,,,241,0.6249,2,0,0,0,0,0,0.32389053777082116,0.32389053777082116
google,https://atomberg.com/?srsltid=AfmBOoqCPZZ7TI8IoT3S-7Yy6L7S_jQ-H0aOsv9mewnuXjW1E3oMlEei,"Atomberg: Buy Best Ceiling Fans, Mixer Grinders & Water ...",,,8,0.0,2,0,0,0,0,0,0.30788864463904214,0.30788864463904214
google,https://www.croma.com/atomberg-renesa-smart-plus-5-star-1200mm-3-blade-bldc-motor-smart-ceiling-fan-with-remote-alexa-google-assistant-golden-oakwood-/p/230088?srsltid=AfmBOorV1-DvJ74d9EUXCssgLA6LKZPQRFo1hmIsbaOpGjbuJTKGxHiK,Buy atomberg Renesa Smart Plus 5 Star 1200mm 3 Blade ...,,,160,0.743,2,0,0,0,0,0,0.29478373494331395,0.29478373494331395
google,https://atomberg.com/atomberg-studio-plus-bldc-motor-with-remote-3-blade-ceiling-fan?srsltid=AfmBOoqU7zkxpM8p9rxRYowIZKwFNrHXwdOEOVf56GQr677hAUHGUpxk,Buy Atomberg Studio Plus Fan Online With A Fixed Warranty,,,8,0.0,2,0,0,0,0,0,0.28380372261682446,0.28380372261682446
google,https://atomberg.com/atomberg-ceiling-fans?srsltid=AfmBOopIRi9yfIzaA_b6GHnZRZUJpmqUB4hBtsCFTnH108LOXgf-83q-,Buy Premium BLDC Ceiling Fans At Best Prices Online In ...,,,8,0.0,1,0,0,0,0,0,0.27443454075003526,0.27443454075003526
google,https://www.youtube.com/watch?v=dSOvzznmZJ4,Atomberg Renesa Smart Ceiling Fan || Smart Fan,,,202,0.8957,2,0,0,0,0,0,0.266319563348789,0.266319563348789
google,https://www.vijaysales.com/p/234615/atomberg-renesa-smart-1200-mm-bldc-ceiling-fan-with-iot-remote-control-led-indicators-brown-black,Atomberg Renesa Smart 1200 mm BLDC Ceiling Fan with ...,,,5000,0.9982,2,0,0,0,1,3,0.2592029357487628,0.2592029357487628
google,https://atomberg.com/bldc-ceiling-fans?srsltid=AfmBOorV17f5ZOrPHyuF2JAUsv3DKWtXD0VEJzYW3DMiJ_F4F3vyPrrf,BLDC Ceiling Fans | Energy-Saving & Smart Fans,,,8,0.0,1,0,0,0,0,0,0.25289589122654377,0.25289589122654377
google,https://www.myg.in/atomberg-en/?srsltid=AfmBOorLt1PKaFi5UabDdoJT4RdTm8VgRZ2YmLxFd24RITiJE79vJNW8,Atomberg,,,4997,0.9971,14,3,0,0,0,1,0.24725582386086203,0.24725582386086203
